,f1,f2,f3,f4,f5,f6,f7
f1,0,1,2,0,3,5,4
f2,4,0,2,4,2,0,6
f3,1,0,0,1,4,6,0
f4,0,1,6,0,3,0,2
f5,2,3,2,4,0,1,3
f6,2,1,0,1,0,0,5
f7,0,0,0,3,0,3,0
