,FeedingOADA,OpeningOADA,Dom,PropFeed,PropOpen
f1,4,2,0.49084997,5.33,1
f2,3,7,0.180600724,2,0
f3,1,1,0.482328525,6,3
f4,7,7,0.288331318,1,0
f5,2,7,0,2.33,0
f6,5,3,0.696928477,5.33,1.67
f7,6,4,1,4,1
