,f8,f9,f10,f11,f12,f13,f14,f15
f8,0,39,38,45,40,35,57,43
f9,44,0,26,27,35,38,29,35
f10,35,22,0,38,66,175,22,41
f11,45,27,33,0,40,26,52,39
f12,39,38,62,37,0,71,69,36
f13,31,39,184,21,74,0,37,33
f14,55,34,30,52,79,36,0,34
f15,45,40,47,42,35,34,33,0
