,f1,f2,f3,f4,f5,f6,f7
f1,0,1.173913043,2.095652174,1.686956522,2.191304348,2.147826087,1.408695652
f2,1.173913043,0,2.008695652,1.513043478,1.504347826,2.060869565,2.965217391
f3,2.095652174,2.008695652,0,1.573913043,2.886956522,2.173913043,1.12173913
f4,1.686956522,1.513043478,1.573913043,0,2.243478261,1.060869565,1.469565217
f5,2.191304348,1.504347826,2.886956522,2.243478261,0,1,1.260869565
f6,2.147826087,2.060869565,2.173913043,1.060869565,1,0,2.660869565
f7,1.408695652,2.965217391,1.12173913,1.469565217,1.260869565,2.660869565,0
