,f1,f2,f3,f4,f5,f6,f7
f1,0,5,3,0,5,7,4
f2,5,0,2,5,5,1,6
f3,3,2,0,7,6,6,0
f4,0,5,7,0,7,1,5
f5,5,5,6,7,0,1,3
f6,7,1,6,1,1,0,8
f7,4,6,0,5,3,8,0
