,FeedingOADA,OpeningOADA,Dom,PropFeed,PropOpen
f8,4,8,0,1,0
f9,1,1,0.71954181,16,9
f10,2,2,0.654117643,7,4
f11,8,8,0.263529423,0,0
f12,8,8,0.24423529,0,0
f13,5,3,1,5,1
f14,8,8,0.375764715,0,0
f15,3,8,0.803046458,4,0
