,f8,f9,f10,f11,f12,f13,f14,f15
f8,0,0,0,0,0,0,0,0
f9,9,0,2,10,6,1,8,5
f10,1,1,0,2,3,3,2,3
f11,1,0,0,0,0,0,0,0
f12,0,1,2,0,0,0,0,0
f13,7,7,4,3,7,0,6,13
f14,2,0,1,0,1,0,0,0
f15,1,14,3,2,1,2,1,0
