,FeedingOADA,OpeningOADA,Dom,PropFeed,PropOpen
f3,1,1,0.299864007,10.25,36
f23,4,5,0,1,3
f25,2,2,1,7.5,14
f34,3,4,0.546237536,1,1
f39,5,3,0.805757029,1.25,1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
