,f1,f2,f3,f4,f5,f6,f7
f1,0,39,28,31,21,39,51
f2,39,0,48,25,26,15,75
f3,28,48,0,29,45,43,38
f4,31,25,29,0,27,20,56
f5,21,26,45,27,0,18,59
f6,39,15,43,20,18,0,64
f7,51,75,38,56,59,64,0
