,f8,f9,f10,f11,f12,f13,f14,f15
f8,0,9,1,1,0,7,2,1
f9,9,0,3,10,7,8,8,19
f10,1,3,0,2,5,7,3,6
f11,1,10,2,0,0,3,0,2
f12,0,7,5,0,0,7,1,1
f13,7,8,7,3,7,0,6,15
f14,2,8,3,0,1,6,0,1
f15,1,19,6,2,1,15,1,0
