,FeedingOADA,OpeningOADA,Dom,PropFeed,PropOpen
f1,4,5,0,1.125,1
f2,1,1,0.641117767,3.5,10.5
f3,5,2,0.450926718,1,1.5
f4,3,3,0.641117767,4.875,11
f5,2,4,1,5,13.5
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
