,FeedingOADA,OpeningOADA,Dom,PropFeed,PropOpen
f6,1,1,0.332092499,1.85,7.5
f7,2,5,0,1.25,1.5
f8,3,4,1,1,1
f9,4,2,0.548770012,1.4,3.25
f10,5,3,0.860254241,1.3,2.75
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
