,FeedingOADA,OpeningOADA,Dom,PropFeed,PropOpen
f11,1,1,0,4.5,1.75
f12,2,2,0.387507378,9,3.875
f13,5,3,0.883806974,5,1.125
f14,4,5,0.464031974,1,0
f15,3,4,1,4.75,1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
