,f8,f9,f10,f11,f12,f13,f14,f15
f8,0,0,0,0,0,0,0,0
f9,0,0,0,0,1,0,0,0
f10,0,0,0,0,0,18,1,1
f11,0,0,0,0,0,0,0,0
f12,0,1,0,0,0,1,0,0
f13,0,0,18,0,1,0,2,2
f14,0,0,1,0,0,2,0,0
f15,0,0,1,0,0,2,0,0
