,f1,f2,f3,f4,f5,f6,f7
f1,0,30,14,22,20,10,2
f2,9,0,20,4,10,3,2
f3,14,28,0,21,37,14,2
f4,9,21,8,0,16,3,3
f5,1,16,8,11,0,2,3
f6,29,12,29,17,16,0,8
f7,49,73,36,53,56,56,0
